Dataset	Genome_ID	n_16S	n_tRNA	total_genes	n_MCP	n_transporter	n_transfact	n_osmostress	n_SMBC	accessions
RefSoil	RefSoil_661	2	55	6661	0	166	504	2	18	NC_018289.1
RefSoil	RefSoil_506	6	60	3171	0	79	185	0	7	NC_015859.1
RefSoil	RefSoil_766	6	69	4779	1	119	340	5	10	NC_021150.1
RefSoil	RefSoil_765	6	70	4823	1	120	344	5	10	NC_021149.1
RefSoil	RefSoil_308	3	46	1533	4	38	39	0	0	NC_012039.1
RefSoil	RefSoil_723	4	59	4265	11	105	248	6	8	NC_019936.1
RefSoil	RefSoil_600	4	48	2115	0	52	93	0	6	NC_017300.1
RefSoil	RefSoil_805	12	85	4393	20	108	311	1	9	NC_022571.1
RefSoil	RefSoil_240	9	81	3582	11	88	253	1	3	NC_010520.1
RefSoil	RefSoil_814	15	90	6067	7	149	418	1	12	NC_022873.1
RefSoil	RefSoil_577	1	48	1997	2	49	94	2	0	NC_017095.1
RefSoil	RefSoil_145	5	54	4242	0	104	287	3	5	NC_008541.1
RefSoil	RefSoil_245	9	69	3070	2	75	184	1	2	NC_010556.1
RefSoil	RefSoil_242	5	68	5287	4	129	430	11	6	NC_010528.1, NC_010530.1
RefSoil	RefSoil_664	12	97	6027	7	147	395	1	14	NC_018500.1
RefSoil	RefSoil_403	1	50	4477	0	109	303	9	4	NC_014217.1
RefSoil	RefSoil_222	3	62	5061	3	123	438	5	8	NC_010170.1
RefSoil	RefSoil_827	5	55	4822	2	117	341	6	4	NZ_CM002024.1, NZ_CM002025.1
RefSoil	RefSoil_269	4	81	4043	0	98	282	4	5	NC_011071.1
RefSoil	RefSoil_239	9	82	3595	11	87	251	1	3	NC_010516.1
RefSoil	RefSoil_205	3	47	1945	6	47	54	2	1	NC_009715.1
RefSoil	RefSoil_913	6	66	8683	8	209	719	15	10	NZ_CP008760.1, NZ_CP008762.1, NZ_CP008761.1
RefSoil	RefSoil_865	3	53	4206	1	101	293	3	5	NZ_CP007067.1
RefSoil	RefSoil_156	6	54	4219	0	101	325	5	7	NC_008711.1
RefSoil	RefSoil_846	9	82	4854	6	116	413	0	1	NZ_CP004078.1
RefSoil	RefSoil_322	9	81	3731	9	89	252	1	3	NC_012658.1
RefSoil	RefSoil_888	3	72	4025	0	96	233	3	5	NZ_CP007597.1
RefSoil	RefSoil_47	8	106	4281	13	102	277	7	8	NC_005085.1
RefSoil	RefSoil_745	7	62	2604	0	62	142	1	3	NC_020506.1
RefSoil	RefSoil_126	1	48	3236	0	77	183	4	9	NC_008148.1
RefSoil	RefSoil_317	4	57	7240	0	172	572	4	23	NC_012522.1
RefSoil	RefSoil_829	2	64	5517	0	131	410	2	19	NZ_CM002177.1
RefSoil	RefSoil_432	3	63	6414	9	152	651	7	10	NC_014640.1
RefSoil	RefSoil_652	9	66	4562	4	108	301	0	1	NC_018068.1
RefSoil	RefSoil_800	4	58	5787	0	137	465	3	17	NC_022115.1
RefSoil	RefSoil_496	1	46	2038	7	48	89	0	1	NC_015707.1
RefSoil	RefSoil_544	5	50	2209	0	52	106	1	5	NC_016790.1
RefSoil	RefSoil_808	3	44	1659	3	39	33	0	0	NC_022660.1
RefSoil	RefSoil_921	6	67	1788	0	42	107	0	4	NZ_CP008926.1
RefSoil	RefSoil_423	4	56	2428	2	57	149	0	0	NC_014538.1
RefSoil	RefSoil_344	3	45	4265	0	100	259	0	5	NC_013061.1
RefSoil	RefSoil_225	4	54	2434	2	57	148	0	0	NC_010320.1
RefSoil	RefSoil_812	9	62	3246	4	76	193	2	3	NC_022794.1
RefSoil	RefSoil_847	4	71	5645	3	132	415	5	20	NZ_CP004383.1, NZ_CP004384.1
RefSoil	RefSoil_135	5	65	6304	4	147	574	10	7	NC_008313.1, NC_008314.1
RefSoil	RefSoil_649	2	53	5237	0	122	290	3	13	NC_018027.1
RefSoil	RefSoil_202	8	81	3397	12	79	230	1	3	NC_009698.1
RefSoil	RefSoil_333	2	53	2281	0	53	104	3	4	NC_012803.1
RefSoil	RefSoil_579	5	57	2673	0	62	137	1	3	NC_017108.1
RefSoil	RefSoil_580	5	57	2673	0	62	137	1	3	NC_017111.1
RefSoil	RefSoil_731	10	88	3493	3	81	204	1	3	NC_020210.1
RefSoil	RefSoil_803	6	71	7418	3	172	675	12	14	NC_022513.1, NC_022514.1, NC_022515.1
RefSoil	RefSoil_582	5	57	2675	0	62	136	1	3	NC_017125.1
RefSoil	RefSoil_583	5	57	2675	0	62	136	1	3	NC_017146.1
RefSoil	RefSoil_355	5	57	2676	0	62	136	1	3	NC_013209.1
RefSoil	RefSoil_581	5	57	2677	0	62	137	1	3	NC_017121.1
RefSoil	RefSoil_169	4	71	7257	0	168	635	4	34	NC_009142.1
RefSoil	RefSoil_578	5	57	2679	0	62	137	1	3	NC_017100.1
RefSoil	RefSoil_856	13	110	5024	10	116	411	0	16	NZ_CP006872.1
RefSoil	RefSoil_425	6	59	2556	8	59	136	2	2	NC_014614.1
RefSoil	RefSoil_103	4	72	5641	3	130	416	5	20	NC_007651.1, NC_007650.1
RefSoil	RefSoil_220	2	46	3519	0	81	204	1	5	NC_010168.1
RefSoil	RefSoil_305	4	57	4524	2	104	293	3	8	NC_011989.1, NC_011988.1
RefSoil	RefSoil_602	4	52	2221	0	51	100	0	6	NC_017317.1
RefSoil	RefSoil_327	5	76	5852	13	134	428	8	14	NC_012724.2, NC_012721.2
RefSoil	RefSoil_772	9	75	4723	0	108	298	0	3	NC_021182.1
RefSoil	RefSoil_194	14	94	5250	22	120	454	1	3	NC_009617.1
RefSoil	RefSoil_49	2	57	4946	8	113	267	3	7	NC_005296.1
RefSoil	RefSoil_508	4	78	4071	0	93	259	4	4	NC_015947.1
RefSoil	RefSoil_540	9	90	5430	7	124	472	0	12	NC_016641.1
RefSoil	RefSoil_266	3	54	4296	1	98	306	4	6	NC_010994.1
RefSoil	RefSoil_650	4	64	4350	12	99	239	7	8	NC_018028.1
RefSoil	RefSoil_374	4	46	3473	0	79	110	1	12	NC_013861.1
RefSoil	RefSoil_120	4	48	2508	0	57	115	4	2	NC_007969.1
RefSoil	RefSoil_630	4	79	4312	0	98	282	7	4	NC_017671.1
RefSoil	RefSoil_427	13	111	5077	9	115	413	0	12	NC_014622.2
RefSoil	RefSoil_115	2	46	2831	2	64	122	4	2	NC_007947.1
RefSoil	RefSoil_545	5	53	2389	0	54	128	1	4	NC_016800.1
RefSoil	RefSoil_170	6	79	6504	9	147	582	7	11	NC_009256.1, NC_009255.1, NC_009254.1
RefSoil	RefSoil_316	15	127	5899	13	133	483	1	12	NC_012491.1
RefSoil	RefSoil_528	8	76	5423	7	122	433	2	6	NC_016584.1
RefSoil	RefSoil_133	4	60	7177	0	161	577	4	22	NC_008268.1
RefSoil	RefSoil_306	3	55	3523	3	79	210	4	3	NC_011992.1
RefSoil	RefSoil_2	1	32	894	0	20	21	1	0	NC_000963.1
RefSoil	RefSoil_168	4	85	5726	4	128	426	5	23	NC_009076.1, NC_009078.1
RefSoil	RefSoil_67	3	43	2954	0	66	101	1	6	NC_006369.1
RefSoil	RefSoil_658	1	46	4572	0	102	280	3	16	NC_018150.2
RefSoil	RefSoil_616	14	111	5257	9	117	429	0	12	NC_017542.1
RefSoil	RefSoil_187	3	43	3191	0	71	117	1	7	NC_009494.2
RefSoil	RefSoil_265	4	79	4412	0	98	288	5	4	NC_010943.1
RefSoil	RefSoil_656	3	43	3110	0	69	105	1	7	NC_018140.1
RefSoil	RefSoil_599	9	72	3658	12	81	242	1	4	NC_017299.1
RefSoil	RefSoil_277	4	62	3569	0	79	206	3	4	NC_011365.1
RefSoil	RefSoil_18	11	72	3705	12	82	225	1	4	NC_003030.1
RefSoil	RefSoil_798	10	89	3405	3	75	178	0	5	NC_022080.4
RefSoil	RefSoil_88	4	82	5950	4	131	438	5	26	NC_007434.1, NC_007435.1
RefSoil	RefSoil_166	4	84	5772	4	127	420	5	24	NC_009074.1, NC_009075.1
RefSoil	RefSoil_64	4	82	5913	4	130	438	5	22	NC_006350.1, NC_006351.1
RefSoil	RefSoil_66	3	43	3098	0	68	115	1	6	NC_006368.1
RefSoil	RefSoil_399	4	56	3145	5	69	149	3	3	NC_014166.1
RefSoil	RefSoil_278	3	52	4376	1	96	326	4	5	NC_011369.1
RefSoil	RefSoil_469	10	85	2508	6	55	129	1	1	NC_015425.1
RefSoil	RefSoil_873	4	60	5656	2	124	485	3	9	NZ_CP007236.1, NZ_CP007237.1
RefSoil	RefSoil_584	4	54	2601	0	57	131	1	3	NC_017150.1
RefSoil	RefSoil_320	9	81	3835	11	84	262	1	4	NC_012563.1
RefSoil	RefSoil_268	2	60	5296	8	116	271	3	8	NC_011004.1
RefSoil	RefSoil_377	7	83	3791	2	83	296	3	15	NC_013892.1
RefSoil	RefSoil_433	4	57	2421	0	53	152	1	2	NC_014654.1
RefSoil	RefSoil_546	5	55	2377	0	52	115	1	5	NC_016801.1
RefSoil	RefSoil_186	2	52	3072	0	67	153	5	4	NC_009484.1
RefSoil	RefSoil_736	11	70	5736	24	125	463	1	8	NC_020291.1
RefSoil	RefSoil_394	3	43	3123	0	68	98	1	7	NC_014125.1
RefSoil	RefSoil_362	3	56	3353	0	73	211	1	3	NC_013530.1
RefSoil	RefSoil_79	3	51	2115	0	46	120	0	5	NC_007164.1
RefSoil	RefSoil_295	6	56	2207	0	48	109	0	0	NC_011852.1
RefSoil	RefSoil_436	4	63	4644	0	101	334	3	15	NC_014659.1
RefSoil	RefSoil_547	3	43	2990	0	65	101	1	8	NC_016811.1
RefSoil	RefSoil_669	4	85	5848	4	127	432	5	23	NC_018527.1, NC_018529.1
RefSoil	RefSoil_493	11	73	3693	12	80	225	1	4	NC_015687.1
RefSoil	RefSoil_113	6	61	5407	12	117	448	0	4	NC_007907.1
RefSoil	RefSoil_598	11	75	3698	12	80	224	1	4	NC_017295.1
RefSoil	RefSoil_197	2	46	3841	6	83	270	7	3	NC_009659.1
RefSoil	RefSoil_157	3	52	3980	6	86	240	5	5	NC_008740.1
RefSoil	RefSoil_226	4	56	2316	4	50	157	0	0	NC_010321.1
RefSoil	RefSoil_725	3	54	3664	0	79	274	2	4	NC_020059.1
RefSoil	RefSoil_767	12	89	4654	0	100	255	0	8	NC_021171.1
RefSoil	RefSoil_491	4	52	2374	0	51	110	0	6	NC_015683.1
RefSoil	RefSoil_484	7	55	1678	0	36	117	1	1	NC_015601.1
RefSoil	RefSoil_667	11	82	4480	11	96	271	1	3	NC_018515.1
RefSoil	RefSoil_926	3	52	4215	3	90	278	2	3	NZ_HG916852.1
RefSoil	RefSoil_901	9	92	3232	1	69	154	0	5	NZ_CP007739.1
RefSoil	RefSoil_397	1	45	3188	1	68	159	5	4	NC_014153.1
RefSoil	RefSoil_819	12	86	5359	8	114	469	0	11	NC_023037.2
RefSoil	RefSoil_786	5	64	2398	0	51	124	0	5	NC_021663.1
RefSoil	RefSoil_137	3	54	4846	1	103	377	6	6	NC_008380.1
RefSoil	RefSoil_102	1	52	2636	1	56	148	1	1	NC_007644.1
RefSoil	RefSoil_294	7	60	3775	11	80	266	0	4	NC_011837.1
RefSoil	RefSoil_114	2	56	4967	7	105	249	5	9	NC_007925.1
RefSoil	RefSoil_504	3	54	4594	0	97	328	9	7	NC_015856.1
RefSoil	RefSoil_928	3	49	4453	1	94	325	2	4	NZ_HG938355.1
RefSoil	RefSoil_7	8	79	4079	7	86	312	1	6	NC_002570.2
RefSoil	RefSoil_404	7	79	3940	2	83	287	3	17	NC_014228.1
RefSoil	RefSoil_860	3	55	4278	1	90	312	3	6	NZ_CP006986.1
RefSoil	RefSoil_851	3	67	5756	0	121	374	4	6	NZ_CP006644.1
RefSoil	RefSoil_927	3	48	4473	1	94	316	2	3	NZ_HG938353.1
RefSoil	RefSoil_719	3	59	3334	2	70	220	1	5	NC_019845.2
RefSoil	RefSoil_418	12	92	4825	9	101	398	0	11	NC_014483.2
RefSoil	RefSoil_401	5	73	5545	0	116	464	1	15	NC_014210.1, NC_014211.1
RefSoil	RefSoil_492	1	51	3399	1	71	172	2	3	NC_015684.1
RefSoil	RefSoil_121	2	58	3592	0	75	248	9	4	NC_007973.1
RefSoil	RefSoil_501	1	52	4028	0	84	216	0	15	NC_015758.1
RefSoil	RefSoil_125	2	57	5467	0	114	345	2	11	NC_008146.1
RefSoil	RefSoil_474	5	88	5900	2	123	554	4	5	NC_015563.1
RefSoil	RefSoil_462	4	52	3841	0	80	163	0	3	NC_015177.1
RefSoil	RefSoil_752	2	53	3800	1	79	221	3	4	NC_020561.1
RefSoil	RefSoil_655	3	43	3127	0	65	101	1	7	NC_018139.1
RefSoil	RefSoil_236	4	68	5728	5	119	286	6	8	NC_010505.1
RefSoil	RefSoil_741	1	36	2073	0	43	84	2	1	NC_020417.1
RefSoil	RefSoil_561	3	56	5068	0	105	359	2	16	NC_016906.1
RefSoil	RefSoil_750	3	57	3381	2	70	225	1	5	NC_020528.1
RefSoil	RefSoil_449	2	60	3095	0	64	135	0	2	NC_014924.1
RefSoil	RefSoil_154	2	58	5513	0	114	346	2	11	NC_008705.1
RefSoil	RefSoil_304	3	52	6239	0	129	574	12	9	NC_011985.1, NC_011983.1
RefSoil	RefSoil_689	3	52	4800	2	99	364	6	2	NC_018708.1
RefSoil	RefSoil_458	4	57	3928	0	81	279	1	4	NC_015145.1
RefSoil	RefSoil_203	7	60	3885	11	80	278	0	4	NC_009706.1
RefSoil	RefSoil_378	4	55	2381	4	49	161	0	0	NC_013921.1
RefSoil	RefSoil_292	5	76	4914	12	101	384	0	3	NC_011830.1
RefSoil	RefSoil_513	8	92	3943	6	81	274	2	7	NC_016002.1
RefSoil	RefSoil_574	1	50	6829	4	140	387	5	7	NC_017082.1
RefSoil	RefSoil_331	2	66	6295	3	129	527	6	8	NC_012791.1, NC_012792.1
RefSoil	RefSoil_325	2	58	4205	0	86	324	0	1	NC_012669.1
RefSoil	RefSoil_494	13	116	7144	11	146	633	0	17	NC_015690.1
RefSoil	RefSoil_16	1	45	2007	0	41	57	1	4	NC_002971.3
RefSoil	RefSoil_309	1	52	4022	0	82	219	0	15	NC_012207.1
RefSoil	RefSoil_361	2	51	2848	0	58	158	0	3	NC_013525.1, NC_013526.1
RefSoil	RefSoil_446	2	58	4960	8	101	256	3	8	NC_014834.1
RefSoil	RefSoil_41	6	54	2701	9	55	166	0	1	NC_004557.1
RefSoil	RefSoil_413	2	49	4281	4	87	329	4	2	NC_014364.1
RefSoil	RefSoil_398	2	52	4235	0	86	286	2	13	NC_014158.1
RefSoil	RefSoil_841	3	52	2415	0	49	97	3	6	NZ_CP003181.1
RefSoil	RefSoil_605	4	56	2711	0	55	157	5	3	NC_017384.1
RefSoil	RefSoil_167	2	58	5819	0	118	376	2	11	NC_009077.1
RefSoil	RefSoil_883	1	48	2769	0	56	131	2	6	NZ_CP007514.1
RefSoil	RefSoil_249	3	52	3759	0	76	218	2	10	NC_010581.1
RefSoil	RefSoil_726	1	53	4061	0	82	221	0	13	NC_020089.1
RefSoil	RefSoil_92	2	60	4409	0	89	242	4	4	NC_007508.1
RefSoil	RefSoil_801	2	57	6695	3	135	586	8	11	NC_022247.1, NC_022234.1
RefSoil	RefSoil_193	1	53	4068	0	82	219	0	14	NC_009565.1
RefSoil	RefSoil_281	4	65	3969	1	80	197	4	4	NC_011662.2
RefSoil	RefSoil_603	3	58	3425	2	69	221	1	5	NC_017322.1
RefSoil	RefSoil_809	1	55	5616	0	113	258	1	24	NC_022663.1
RefSoil	RefSoil_215	5	83	6115	2	123	548	3	4	NC_010002.1
RefSoil	RefSoil_189	2	55	4923	0	99	323	2	5	NC_009511.1
RefSoil	RefSoil_562	14	177	7466	9	150	668	0	16	NC_016935.1
RefSoil	RefSoil_267	3	46	3686	4	74	168	2	6	NC_010995.1
RefSoil	RefSoil_334	3	51	4584	1	92	373	4	6	NC_012850.1
RefSoil	RefSoil_247	6	81	7097	0	142	547	2	38	NC_010572.1
RefSoil	RefSoil_206	2	56	4851	0	97	296	6	10	NC_009720.1
RefSoil	RefSoil_917	2	55	4106	0	82	248	2	6	NZ_CP008884.1
RefSoil	RefSoil_840	1	52	4063	0	81	219	0	14	NZ_CP002871.1
RefSoil	RefSoil_14	2	48	3411	8	68	161	0	3	NC_002939.5
RefSoil	RefSoil_560	5	59	3618	2	72	252	0	4	NC_016894.1
RefSoil	RefSoil_448	3	62	4376	3	87	320	5	5	NC_014910.1
RefSoil	RefSoil_486	1	51	5190	0	103	448	1	7	NC_015635.1
RefSoil	RefSoil_301	4	61	4187	0	83	235	2	5	NC_011963.1, NC_011958.1
RefSoil	RefSoil_751	2	59	3834	1	76	177	1	7	NC_020541.1
RefSoil	RefSoil_610	2	48	3332	8	66	150	0	3	NC_017454.1
RefSoil	RefSoil_768	1	47	3689	0	73	168	2	3	NC_021172.1
RefSoil	RefSoil_908	1	51	4044	0	80	218	0	14	NZ_CP007803.1
RefSoil	RefSoil_336	5	89	3842	4	76	202	1	3	NC_012881.1
RefSoil	RefSoil_136	3	52	2430	0	48	104	3	6	NC_008343.1
RefSoil	RefSoil_258	2	57	4310	1	85	232	3	3	NC_010688.1
RefSoil	RefSoil_657	1	53	4062	0	80	220	0	15	NC_018143.2
RefSoil	RefSoil_722	6	73	3403	5	67	218	0	2	NC_019903.1
RefSoil	RefSoil_35	9	101	4419	9	87	272	3	5	NC_004347.2
RefSoil	RefSoil_152	8	102	3709	8	73	211	4	4	NC_008700.1
RefSoil	RefSoil_391	2	55	4291	0	84	279	6	2	NC_014100.1
RefSoil	RefSoil_595	2	58	8690	4	170	527	5	9	NC_017249.1
RefSoil	RefSoil_162	2	48	2459	0	48	92	1	5	NC_008789.1
RefSoil	RefSoil_443	10	81	4314	4	84	249	1	4	NC_014829.1
RefSoil	RefSoil_230	2	56	5092	1	99	312	4	4	NC_010338.1
RefSoil	RefSoil_631	13	154	7201	10	140	657	0	15	NC_017672.3
RefSoil	RefSoil_864	3	52	4682	1	91	360	3	6	NZ_CP007045.1
RefSoil	RefSoil_519	9	110	7568	0	147	556	1	40	NC_016109.1
RefSoil	RefSoil_29	2	58	4287	1	83	229	3	3	NC_003902.1
RefSoil	RefSoil_793	3	52	4082	1	79	295	4	7	NC_021905.1
RefSoil	RefSoil_78	2	57	4344	1	84	233	3	3	NC_007086.1
RefSoil	RefSoil_367	2	72	7045	0	136	678	1	11	NC_013729.1
RefSoil	RefSoil_238	6	79	6894	3	133	360	3	16	NC_010511.1
RefSoil	RefSoil_366	2	53	3112	0	60	122	1	7	NC_013722.1
RefSoil	RefSoil_743	2	53	7158	8	138	407	5	14	NC_020453.1
RefSoil	RefSoil_165	4	60	4098	0	79	232	2	6	NC_009049.1, NC_009050.1
RefSoil	RefSoil_282	2	52	3904	0	75	183	3	12	NC_011666.1
RefSoil	RefSoil_687	3	60	3489	2	67	228	1	6	NC_018700.1
RefSoil	RefSoil_61	6	103	3290	1	63	188	0	2	NC_006177.1
RefSoil	RefSoil_886	2	56	9089	4	174	555	6	10	NZ_CP007569.1
RefSoil	RefSoil_646	2	43	2510	12	48	103	2	2	NC_018002.1
RefSoil	RefSoil_869	2	46	3298	9	63	168	1	2	NZ_CP007201.1
RefSoil	RefSoil_691	2	88	7330	0	140	586	3	30	NC_018750.1
RefSoil	RefSoil_647	2	54	4347	0	83	189	2	5	NC_018014.1
RefSoil	RefSoil_37	1	55	8490	7	162	521	6	8	NC_004463.1
RefSoil	RefSoil_482	3	63	6607	2	126	506	7	10	NC_015590.1, NC_015596.1, NC_015591.1
RefSoil	RefSoil_106	3	50	4199	1	80	299	4	7	NC_007761.1
RefSoil	RefSoil_172	2	53	5357	0	102	330	3	14	NC_009338.1
RefSoil	RefSoil_480	3	61	3625	0	69	184	4	3	NC_015580.1
RefSoil	RefSoil_559	3	61	5571	0	106	402	3	18	NC_016887.1
RefSoil	RefSoil_388	3	58	3895	0	74	203	4	7	NC_014006.1, NC_014013.1
RefSoil	RefSoil_444	2	59	2374	0	45	120	0	0	NC_014831.1
RefSoil	RefSoil_685	3	65	8517	0	161	684	4	49	NC_018681.1
RefSoil	RefSoil_442	3	50	3495	0	66	198	3	5	NC_014816.1, NC_014817.1
RefSoil	RefSoil_724	2	56	5931	0	112	430	5	8	NC_019973.1
RefSoil	RefSoil_365	6	84	9169	0	173	870	2	25	NC_013595.1
RefSoil	RefSoil_381	2	42	3021	6	57	228	2	1	NC_013943.1
RefSoil	RefSoil_497	1	51	4611	0	87	228	6	4	NC_015717.1
RefSoil	RefSoil_342	5	65	5572	1	105	278	4	7	NC_012988.1
RefSoil	RefSoil_9	2	55	6796	0	128	513	5	9	NC_002678.2
RefSoil	RefSoil_683	6	81	2976	13	56	211	0	1	NC_018664.1
RefSoil	RefSoil_116	1	45	4945	0	93	373	5	5	NC_007948.1
RefSoil	RefSoil_771	6	84	6919	0	130	534	5	34	NC_021177.1
RefSoil	RefSoil_356	3	51	1813	0	34	77	1	2	NC_013355.1
RefSoil	RefSoil_429	4	58	2829	0	53	155	5	3	NC_014625.1
RefSoil	RefSoil_642	3	60	5287	0	99	316	1	9	NC_017955.1
RefSoil	RefSoil_502	3	47	2246	0	42	59	0	0	NC_015846.1
RefSoil	RefSoil_670	3	51	4867	0	91	318	2	15	NC_018581.1
RefSoil	RefSoil_223	5	63	4976	2	93	229	4	7	NC_010172.1
RefSoil	RefSoil_81	4	48	2199	0	41	95	3	2	NC_007204.1
RefSoil	RefSoil_813	1	46	2097	4	39	80	0	1	NC_022795.1
RefSoil	RefSoil_521	6	80	6406	0	119	500	3	27	NC_016114.1
RefSoil	RefSoil_483	3	56	4040	0	75	215	5	6	NC_015593.1, NC_015594.1
RefSoil	RefSoil_604	3	58	3771	2	70	242	1	6	NC_017325.1
RefSoil	RefSoil_529	2	49	6269	0	116	361	2	18	NC_016604.1
RefSoil	RefSoil_395	1	45	3520	0	65	171	7	6	NC_014145.1
RefSoil	RefSoil_353	2	50	4445	5	82	206	2	8	NC_013194.1
RefSoil	RefSoil_390	4	60	3473	0	64	174	4	3	NC_014034.1
RefSoil	RefSoil_648	6	78	4126	10	76	280	0	1	NC_018017.1
RefSoil	RefSoil_110	3	61	3378	0	62	181	3	1	NC_007794.1
RefSoil	RefSoil_209	3	47	2018	7	37	47	0	1	NC_009802.1
RefSoil	RefSoil_286	5	62	5307	3	97	235	3	7	NC_011757.1
RefSoil	RefSoil_762	6	79	6518	0	119	510	3	28	NC_021055.1
RefSoil	RefSoil_887	7	97	8165	0	149	675	4	39	NZ_CP007574.1
RefSoil	RefSoil_90	3	55	3895	0	71	215	2	5	NC_007493.2, NC_007494.2
RefSoil	RefSoil_263	2	45	3633	4	66	199	1	3	NC_010814.1
RefSoil	RefSoil_313	1	47	3364	0	61	177	0	6	NC_012483.1
RefSoil	RefSoil_849	1	55	6240	0	113	456	5	4	NZ_CP006581.1
RefSoil	RefSoil_15	1	59	4529	0	82	230	1	16	NC_002944.2
RefSoil	RefSoil_287	2	81	3038	0	55	124	4	4	NC_011761.1
RefSoil	RefSoil_775	1	59	4531	0	82	233	1	17	NC_021200.1
RefSoil	RefSoil_548	3	53	4035	1	73	272	4	8	NC_016812.1
RefSoil	RefSoil_797	3	60	3487	0	63	206	2	8	NC_022041.1
RefSoil	RefSoil_645	3	59	6157	2	111	456	5	8	NC_018000.1
RefSoil	RefSoil_91	2	55	3233	3	58	155	0	6	NC_007498.2
RefSoil	RefSoil_721	5	62	3851	3	69	331	0	3	NC_019897.1
RefSoil	RefSoil_382	2	56	6429	0	115	570	3	15	NC_013947.1
RefSoil	RefSoil_260	5	64	5380	2	96	266	3	7	NC_010725.1
RefSoil	RefSoil_635	4	60	4432	0	79	199	0	2	NC_017770.1
RefSoil	RefSoil_159	2	49	4099	0	73	252	5	4	NC_008781.1
RefSoil	RefSoil_761	7	77	5847	0	104	439	4	22	NC_020990.1
RefSoil	RefSoil_86	2	47	2814	1	50	107	4	4	NC_007404.1
RefSoil	RefSoil_532	2	60	3437	10	61	201	2	2	NC_016616.1
RefSoil	RefSoil_109	1	51	4733	7	84	231	4	6	NC_007778.1
RefSoil	RefSoil_434	3	43	3641	0	64	168	2	2	NC_014655.1
RefSoil	RefSoil_181	2	58	6663	4	117	349	5	8	NC_009445.1
RefSoil	RefSoil_854	3	38	2279	0	40	101	0	1	NZ_CP006772.1
RefSoil	RefSoil_198	4	61	4502	1	79	326	1	5	NC_009664.2
RefSoil	RefSoil_160	3	53	4176	3	73	265	4	4	NC_008782.1
RefSoil	RefSoil_117	2	56	4415	7	77	195	2	6	NC_007958.1
RefSoil	RefSoil_509	6	75	6489	0	113	529	2	21	NC_015953.1
RefSoil	RefSoil_184	2	53	3045	0	53	182	3	10	NC_009480.1
RefSoil	RefSoil_706	3	48	5587	0	97	254	2	12	NC_019695.1
RefSoil	RefSoil_817	1	51	3416	0	59	152	2	4	NC_022997.1
RefSoil	RefSoil_343	4	59	1973	0	34	71	0	4	NC_013016.1
RefSoil	RefSoil_488	2	56	6628	0	114	479	7	8	NC_015675.1
RefSoil	RefSoil_439	2	47	2677	3	46	132	2	2	NC_014733.1
RefSoil	RefSoil_465	3	64	6639	0	114	541	2	10	NC_015312.1
RefSoil	RefSoil_572	1	96	3497	14	60	164	4	3	NC_017059.1
RefSoil	RefSoil_539	1	49	4899	0	84	262	2	13	NC_016631.1
RefSoil	RefSoil_345	2	42	2511	0	43	67	0	1	NC_013062.1
RefSoil	RefSoil_352	2	68	3448	2	59	187	1	2	NC_013173.1
RefSoil	RefSoil_759	6	88	8658	0	148	742	4	38	NC_020895.1
RefSoil	RefSoil_688	6	55	2402	1	41	155	0	4	NC_018704.1
RefSoil	RefSoil_447	2	55	3340	1	57	167	1	1	NC_014844.1
RefSoil	RefSoil_130	2	49	4175	0	71	263	3	4	NC_008254.1
RefSoil	RefSoil_82	4	65	4239	4	72	200	4	8	NC_007298.1
RefSoil	RefSoil_585	1	44	1886	0	32	67	0	2	NC_017161.1
RefSoil	RefSoil_634	6	89	8969	0	152	766	4	38	NC_017765.1
RefSoil	RefSoil_214	8	60	4077	6	69	309	1	3	NC_010001.1
RefSoil	RefSoil_408	1	46	3548	0	60	151	2	4	NC_014313.1
RefSoil	RefSoil_481	5	66	3916	6	66	284	0	0	NC_015589.1
RefSoil	RefSoil_825	6	84	6290	0	106	484	1	19	NZ_CM001165.1
RefSoil	RefSoil_475	8	67	2789	2	47	156	0	0	NC_015565.1
RefSoil	RefSoil_828	1	55	4582	1	77	230	4	6	NZ_CM002139.1
RefSoil	RefSoil_520	6	79	5491	0	92	417	2	24	NC_016111.1
RefSoil	RefSoil_522	1	51	3115	0	52	143	2	2	NC_016147.2
RefSoil	RefSoil_65	3	61	5693	0	95	425	4	19	NC_006361.1
RefSoil	RefSoil_712	2	41	4858	0	81	222	0	8	NC_019745.1
RefSoil	RefSoil_461	4	41	3299	0	55	146	0	1	NC_015167.1
RefSoil	RefSoil_139	2	55	4933	9	82	199	6	6	NC_008435.1
RefSoil	RefSoil_158	3	61	4875	6	81	309	4	8	NC_008752.1
RefSoil	RefSoil_180	6	61	5191	0	86	274	1	7	NC_009441.1
RefSoil	RefSoil_149	4	54	3565	2	59	163	0	7	NC_008609.1
RefSoil	RefSoil_174	3	61	4662	0	77	278	1	17	NC_009380.1
RefSoil	RefSoil_794	6	92	7090	0	117	560	5	32	NC_021985.1
RefSoil	RefSoil_97	4	70	3341	7	55	181	2	5	NC_007519.1
RefSoil	RefSoil_396	2	52	3713	0	61	250	1	5	NC_014151.1
RefSoil	RefSoil_122	1	49	4995	0	82	220	0	6	NC_008009.1
RefSoil	RefSoil_20	6	91	7798	0	128	595	4	36	NC_003155.4
RefSoil	RefSoil_153	4	60	3964	4	65	217	6	8	NC_008702.1
